"","ObjectID","Loc_name","Status","Score","Match_type","Match_addr","LongLabel","ShortLabel","Addr_type","Type","PlaceName","Place_addr","Phone","URL","Rank","AddBldg","AddNum","AddNumFrom","AddNumTo","AddRange","Side","StPreDir","StPreType","StName","StType","StDir","BldgType","BldgName","LevelType","LevelName","UnitType","UnitName","SubAddr","StAddr","Block","Sector","Nbrhd","District","City","MetroArea","Subregion","Region","RegionAbbr","Territory","Zone","Postal","PostalExt","Country","CntryName","LangCode","Distance","X","Y","DisplayX","DisplayY","Xmin","Xmax","Ymin","Ymax","ExInfo","IN_Address","IN_Address2","IN_Address3","IN_Neighborhood","IN_City","IN_Subregion","IN_Region","IN_Postal","IN_PostalExt","IN_CountryCode","USER_Region","USER_State","USER_Borrower_Name","USER_State_Tracking_Number","USER_Type_of_Assistance","USER_Supplemental_Appropriation","USER_Latest_Agreement_Action","USER_Initial_Agreement_Date","USER_Initial_Agreement_Amount","USER_Date_of_Latest_Agreement_Action","USER_Current_Agreement_Amount","USER_Annual_Interest_Rate____","USER_Annual_Fee_Rate____","USER_Annual_Finance_Charge____","USER_Upfront_Fees","USER_Repayment_Period__Years_","USER_Includes_Additional_Subsidy_","USER_Additional_Subsidy_Amount","USER_Green_Project_Reserve__GPR__Total","USER_Hardship_Disadvantaged_Community_","USER_Programmatic_Finance_","USER_Sponsorship_Lending_","USER_Sponsorship_Lending__Implementing_Partner","USER_Conduit_Finance_","USER_Subagreements_To_Date","USER_Total_Non_SRF_Co_funding","USER_Non_SRF_Co_funding___Federal","USER_Non_SRF_Co_funding___State","USER_Non_SRF_Co_funding___Local","USER_Project_Name","USER_Project_Description","USER_Project_Needs_Categories","USER_Facility_Name","USER_NPDES_Permit_Number","USER_Population_Served_by_Project","USER_Project_Start","USER_Project_Completion_Date","USER_Affected_Waterbody_Designation","USER_CWA_Compliance_Objective","USER_Designated_Water_Use___Protect","USER_Designated_Water_Use___Restore","USER_Improvement_or_Maintenance_of_Receiving_Waterbody_","USER_Linked_Assistance_Agreement_","USER_Linked_Assistance_Agreement___State_Tracking_Number","geometry"
"11",11,"World","M",95.71,"A","City of Conover, North Carolina","City of Conover, NC, USA","City of Conover","Locality","City","City of Conover","City of Conover, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Conover","","Catawba County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.21696,35.71516,-81.21696,35.71516,-81.26096,-81.17296,35.67116,35.75916,"","Conover, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Conover, City of","CS370436-06","Loan","Not Applicable","Initial Agreement",2022-10-18,1232000,2022-10-18,1232000,1.13,0,1.13,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Northeast WWTF Headworks Improvements","Replace the existing primary screen and grit removal systems.","Centralized Wastewater Treatment - Advanced Treatment: $1,232,000.00","NORTHEAST WWTP","NCG110145",7922,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1341963.46319168, 722563.680981151)
"19",19,"World","M",97.63,"A","City of Bessemer City, North Carolina","City of Bessemer City, NC, USA","City of Bessemer City","Locality","City","City of Bessemer City","City of Bessemer City, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Bessemer City","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.28414,35.28467,-81.28414,35.28467,-81.31314,-81.25514,35.25567,35.31367,"","Bessemer City, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Bessemer City, City of","CS370763-03","Loan","Not Applicable","Initial Agreement",2022-07-14,1985000,2022-07-14,1985000,0,0,0,0,20,"Yes",500000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"Vantine Pump Station and Sewer Replacement","Replace Vantine pump station, replace/extend 2,000 ft of 6-inch force main, and replace gravity sewer in several sewershed locations.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,985,000.00",NA,NA,5507,2024-01-01,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1318421.74394528, 566373.691668621)
"36",36,"World","M",97.24,"A","City of Hickory, North Carolina","City of Hickory, NC, USA","City of Hickory","Locality","City","City of Hickory","City of Hickory, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Hickory","","Catawba County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.32302,35.74255,-81.32302,35.74255,-81.40402,-81.24202,35.66155,35.82355,"","Hickory, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Hickory, City of","CS370389-23","Loan","Not Applicable","Initial Agreement",2021-09-16,30000000,2021-09-16,30000000,0.07,0,0.07,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Henry Forks WWTF Solids Handling Facilities Upgrade","Installation of a new solids handling facility at Hickory WWTP to include septage receiving station, solids receiving station, two gravity belt thickeners, solids processing building, solids holding basins, two belt filter presses, dewatered cake storage bin, solids dryer system to generate Class A biosolids, dried product storage, and two biofilters for odor control","Centralized Wastewater Treatment - Advanced Treatment: $30,000,000.00",NA,NA,41067,2022-09-06,NA,"Not Applicable","Not Applicable",NA,NA,"Improvement","No",NA,c(1310721.70033322, 733250.434163489)
"46",46,"World","M",96.1,"A","City of Gastonia, North Carolina","City of Gastonia, NC, USA","City of Gastonia","Locality","City","City of Gastonia","City of Gastonia, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Gastonia","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.1854,35.24935,-81.1854,35.24935,-81.2954,-81.0754,35.13935,35.35935,"","Gastonia, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Gastonia, City of","CS370744-05","Loan","Not Applicable","Amendment",2021-06-04,14000000,2021-07-01,15400000,1.1,0,1.1,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Sewer Upgrades","Installation of 28,100 LF of 8-inch to 48-inch gravity sewer, two pump stations (Armstrong Ford and South East) , 15,035 LF of 18-inch to 20-inch force main, two odor control stations, and abandonment of two pump stations","Centralized Wastewater Treatment - Sewer System Rehabilitation: $15,400,000.00",NA,NA,25441,2021-08-23,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1347597.53085372, 552858.902158695)
"62",62,"World","M",96.86,"A","City of Newton, North Carolina","City of Newton, NC, USA","City of Newton","Locality","City","City of Newton","City of Newton, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Newton","","Catawba County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.23328,35.66308,-81.23328,35.66308,-81.29228,-81.17428,35.60408,35.72208,"","Newton, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Newton, City of","CS370685-03","Loan","Not Applicable","Initial Agreement",2020-09-10,1900000,2020-09-10,1900000,0,0,0,0,20,"Yes",278440,0,"No","No","No",NA,"No",0,0,0,0,0,"2nd Street Sewer Relocation","Installation of a pump station and 1,600 LF of 6-inch force main to replace oversized gravity sewer that is under a warehouse. Replacement of 410 LF of 8-inch and 200 LF of 18-inch gravity sewer","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,900,000.00",NA,NA,324,2021-08-23,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1336693.76362097, 703720.805458746)
"66",66,"World","M",100,"M","Lincoln County, North Carolina","Lincoln County, NC, USA","Lincoln County","Locality","County","Lincoln County","North Carolina"," "," ",10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Lincoln County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-81.223773952639,35.48564050052,-81.223773952639,35.48564050052,-81.414773952639,-81.032773952639,35.29464050052,35.67664050052," ","Lincoln County",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Lincoln County","CS370825-02","Loan","Not Applicable","Initial Agreement",2020-08-06,14000000,2020-08-06,14000000,1.04,0,1.04,0,20,"No",0,0,"No","No","No",NA,"No",0,12304200,0,0,12304200,"Killian Creek Wastewater Treatment Plant Upgrade","Expansion of existing wastewater treatment plant from 3.35 MGD to 6.6 MGD to include installation of headworks consisting of one (1) mechanical bar screen, one (1) manual bypass screen, and one (1) vortex grit removal system with dual 50 CFM blowers, one (1) influent parshall flume with an ultrasonic flow meter, one (1) influent flow splitter box for sequential batch reactors (SBRs),  a chemical feed system for phosphorous removal including of one (1) 8,000 gallon tank, two (2) 1,814,100 gallon SBRs with a jet aeration and mixing system including four (4) 6,590 GPM jet aeration pumps with VFD, two (2) floating decanters, and two (2) 700 GPM sludge transfer/WAS pumps, one (1) 437,000 gallon post-equalization basin with four (4) submersible mixers and five (5) 1,150 GPM effluent filter feed pumps with VFD, an effluent filter building including two (2) 470 ft2 rotary disc filters, two (2) filter backwash pumps,  two (2) open channel UV disinfection system with dual banks each rated for 4.2 MGD at peak hourly flow; an aerobic sludge digestion system consisting of one (1) 488,700 gallon and one (1) 640,000 gallon aerobic digesters with a jet aeration and mixing system including three (3) 2,929 GPM jet aeration pumps with VFD, one (1) 267,400 gallon sludge holding tank with a jet aeration and mixing systems including one (1) 2,929 GPM jet aeration pump with VFD, two (2) 700 GPM digester sludge transfer pumps, and one (1) 700 GPM sludge holding tank sludge transfer pump, one (1) 3,000 dry lb/hr rotary drum thickener with a polymer feed system, two (2) 400 GPM rotary drum thickener feed pumps with VFD, one (1) 200 GPM rotary drum discharge pump with VFD, a sludge pump station to include three (3) 120 GPM rotary filter press feed pumps with VFD and one (1) 600 GPM sludge macerator, a sludge dewatering building to include two (2) 510 dry tons/hr rotary sludge filter press with a polymer feed system, and two (2) horizontal and one (1) inclined screw conveyers;  a new blower building to include four (4) 1,300 CFM aeration blowers with VFDs for SBRs and four (4) 1,300 CFM aeration blowers with VFD for digestors, caustic chemical feed system; modifications of existing SCADA system, influent flow splitter and SBR system to add influent drop boxes and diffuser pipes, increase blower speed and capacity, integrate controls into the new four (4) SBR basin control system, and associated yard piping, electrical controls and yardwork.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $14,000,000.00","LINCOLNTON WWTP","NCG110134",35549,2020-09-08,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1338070.06337321, 639090.672957253)
"68",68,"World","M",97.24,"A","City of Hickory, North Carolina","City of Hickory, NC, USA","City of Hickory","Locality","City","City of Hickory","City of Hickory, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Hickory","","Catawba County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.32302,35.74255,-81.32302,35.74255,-81.40402,-81.24202,35.66155,35.82355,"","Hickory, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Hickory, City of","CS370389-22","Loan","Not Applicable","Initial Agreement",2020-08-07,5182700,2020-08-07,5182700,1.04,0,1.04,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Murray Basin Sanitary Sewer Project","Eligible

Maybrook Pump Station:
Installation of a 194 GPM duplex submersible pump station, 100 kW generator, SCADA, and approximately 3,400 LF of 4-inch forcemain.

Section House Pump Station:
Installation of a 1476 GPM duplex submersible pump station, 350 kW generator, SCADA, and approximately 15,500 LF of 12-inch forcemain.

Gravity Sewer:
Replacement of approximately 5,283 LF of 8-inch with 12-in gravity sewer and 16 4-foot manholes; rehabilitation of two (2) 4-foot manholes, and installation one (1) 4-foot doghouse manhole and 55 LF of 15-in gravity sewer.

and removal and replacement of pavement, roadways, driveways and curbs, and sedimentation and erosion control devices, electrical valves, vaults and associated appurtenances.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $5,182,700.00",NA,NA,15723,2021-08-30,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1310721.70033322, 733250.434163489)
"70",70,"World","M",98.01,"A","City of Charlotte, North Carolina","City of Charlotte, NC, USA","City of Charlotte","Locality","City","City of Charlotte","City of Charlotte, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Charlotte","","Mecklenburg County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.83082,35.20797,-80.83082,35.20797,-81.08082,-80.58082,34.95797,35.45797,"","Charlotte, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Charlotte, City of","CS370377-16","Loan","Not Applicable","Initial Agreement",2020-04-07,3244504,2020-04-07,3244504,0,0,0,0,20,"No",0,3244504,"No","No","No",NA,"No",0,0,0,0,0,"Mallard Creek WRF Resuse Line Extension to UNCC","Install approximately 13,000 lf of 16 reuse line along the Mallard and Toby Creek Greenway to provide reclaimed water to the UNCC campus, the Tradition Golf Couse and the Mallard Creek WRF.","Water Conservation - Water Reuse: $3,244,504.00",NA,NA,252750,2021-01-11,2022-07-12,"Not Applicable","Not Applicable",NA,NA,"Not Applicable","No",NA,c(1453158.59041887, 535660.143745806)
"71",71,"World","M",96.86,"A","City of Mount Holly, North Carolina","City of Mount Holly, NC, USA","City of Mount Holly","Locality","City","City of Mount Holly","City of Mount Holly, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Mount Holly","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.01311,35.30751,-81.01311,35.30751,-81.06711,-80.95911,35.25351,35.36151,"","Mount Holly, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Mount Holly, City of","CS370747-02","Loan","Not Applicable","Amendment",2020-04-07,4710000,2023-06-28,3417592,1.42,0,1.42,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"The South Gateway Wastewater Treatment Project","The project will replace an existing 350 gpm duplex pump station and construct a triplex pump station of 1,035 gpm capacity and approximately 9,200 feet of 12 DIP forcemain that will discharge into the Mount Holly WWTP.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $3,417,592.00",NA,NA,16135,2021-07-19,2023-06-28,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1399452.74120858, 572934.102023471)
"72",72,"World","M",95.61,"A","City of Lenoir, North Carolina","City of Lenoir, NC, USA","City of Lenoir","Locality","City","City of Lenoir","City of Lenoir, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Lenoir","","Caldwell County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.52701,35.90574,-81.52701,35.90574,-81.60801,-81.44601,35.82474,35.98674,"","Lenoir, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Lenoir, City of","CS370393-07","Loan","Not Applicable","Initial Agreement",2020-03-06,2775000,2020-03-06,2775000,1.13,0,1.13,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Crossroads Sewer Replacement Project","Replacement of 3600 LF of 12-inch gravity sewer with 20-inch and twenty manholes; installation of 600 LF of 8-inch gravity sewer and associated manholes; and service connections.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $2,775,000.00",NA,NA,17938,2022-01-11,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1251718.99636254, 794110.786917451)
"73",73,"World","M",96.1,"A","Town of Troutman, North Carolina","Town of Troutman, NC, USA","Town of Troutman","Locality","City","Town of Troutman","Town of Troutman, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Troutman","","Iredell County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.8855,35.68873,-80.8855,35.68873,-80.9345,-80.8365,35.63973,35.73773,"","Troutman, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Troutman, Town of","CS370580-05","Loan","Not Applicable","Initial Agreement",2020-03-06,856000,2020-03-06,856000,1.13,NA,1.13,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,NA,NA,"Centralized Wastewater Treatment - Sewer System Rehabilitation: $856,000.00",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"No",NA,c(1440151.61037636, 710912.36287806)
"78",78,"World","M",96.86,"A","City of Mount Holly, North Carolina","City of Mount Holly, NC, USA","City of Mount Holly","Locality","City","City of Mount Holly","City of Mount Holly, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Mount Holly","","Gaston County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.01311,35.30751,-81.01311,35.30751,-81.06711,-80.95911,35.25351,35.36151,"","Mount Holly, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Mount Holly, City of","CS370747-01","Loan","Not Applicable","Initial Agreement",2019-12-11,18850000,2019-12-11,18850000,1.38,0,1.38,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Mount Holly WWTP Regionalization Project","Installation of pump station, 3,700 LF of dual 24-inch FM, and equalization tanks to regionalize with Charlotte at future Long Creek WWTP","Centralized Wastewater Treatment - Advanced Treatment: $18,850,000.00","MOUNT HOLLY WWTP","NC0021156",16135,2022-01-10,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1399452.74120858, 572934.102023471)
"82",82,"World","M",100,"M","Burke County, North Carolina","Burke County, NC, USA","Burke County","Locality","County","Burke County","North Carolina"," "," ",10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Burke County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-81.704734405808,35.749589323232,-81.704734405808,35.749589323232,-81.970734405808,-81.438734405808,35.483589323232,36.015589323232," ","Burke County",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Burke County","CS370400-01","Loan","Not Applicable","Final Agreement",2019-05-21,1634000,2020-10-20,1618212,0,0,0,0,20,"Yes",500000,0,"No","No","No",NA,"No",0,0,0,0,0,"Eckard Creek Pump Station Rehab","Reconfiguration of existing 1,000 GPM dry-pit pump station to include two (2) 1,000 GPM suction-lift pumps with VFDâ€™s; replacement of approximately 7,600 LF of existing 12-inch force main and abandonment in place of existing force main; including removal and replacement of pavement, roadways, driveways and curbs, sedimentation and erosion control devices, electric work, valves, yard piping, vaults, associated appurtenances.

Bid alternates include the cost for Gorman-Rupp pumps, replacement of the existing 175kW generator, and replacement of the mechanical bar screen with a new channel grinder.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,618,212.00",NA,NA,89293,2019-10-01,2020-07-27,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1197556.58915945, 738679.846991181)
"96",96,"World","M",98.01,"A","City of Charlotte, North Carolina","City of Charlotte, NC, USA","City of Charlotte","Locality","City","City of Charlotte","City of Charlotte, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Charlotte","","Mecklenburg County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.83082,35.20797,-80.83082,35.20797,-81.08082,-80.58082,34.95797,35.45797,"","Charlotte, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Charlotte, City of","CS370377-15","Loan","Not Applicable","Amendment",2018-05-08,60000000,2019-08-12,68366084,1.71,NA,1.71,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"McAlpine Creek WWMF Clarifier and Aeration Rehab Project","Rehabilitation of 16 secondary clarifiers including RAS pumping modifications, 28 aeration basins including blowers, diffusers, piping, instrumentation and ancillary components.   (PROJECT FUNDING WILL BE REQUESTED OVER 5 FUNDING CYCLES)","Centralized Wastewater Treatment - Sewer System Rehabilitation: $68,366,084.00","McAlpine Creek WWMF",NA,0,NA,NA,NA,NA,NA,NA,NA,"No",NA,c(1453158.59041887, 535660.143745806)
"106",106,"World","M",97.63,"M","Town of Taylorsville, North Carolina","Town of Taylorsville, NC, USA","Town of Taylorsville","Locality","City","Town of Taylorsville","Town of Taylorsville, North Carolina"," "," ",19," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Town of Taylorsville"," ","Alexander County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-81.17559,35.91747,-81.17559,35.91747,-81.21059,-81.14059,35.88247,35.95247," ","Taylorsville, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Taylorsville, Town of","CS370700-07","Loan","Not Applicable","Initial Agreement",2017-09-14,306500,2017-09-14,306500,0,0,0,0,20,"No",0,306500,"No","No","No",NA,"No",0,0,0,0,0,"Taylorsville WWTP Renewable Energy Project","Taylorsville WWTP Renewable Energy Project: Installation of 100KW photovoltaic renewable energy system to produce 80KW of power.","Energy Conservation - Energy Efficiency: $306,500.00","The Town of Taylorsville Wastewater Treatment Plant",NA,0,NA,NA,NA,NA,NA,NA,NA,"No",NA,c(1355854.65823491, 795914.814261687)
"117",117,"World","M",98.01,"A","City of Charlotte, North Carolina","City of Charlotte, NC, USA","City of Charlotte","Locality","City","City of Charlotte","City of Charlotte, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Charlotte","","Mecklenburg County","North Carolina","NC","","","","","USA","United States","ENG",0,-80.83082,35.20797,-80.83082,35.20797,-81.08082,-80.58082,34.95797,35.45797,"","Charlotte, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Charlotte, City of","CS370377-14","Loan","Not Applicable","Final Agreement",2017-04-13,20881929,2021-03-19,20881929,0.56,NA,0.56,0,20,"No",0,12529157,"No","No","No",NA,"No",0,0,0,0,0,"Sugar Creek WWTP Reliability Improvements Project","Rehabilitation of Sugar Creek WWTP to include aeration basin improvements (replacing diffusers, new influent distribution box, modify zoning), rehabilitation and/or replacement of blowers, pumps at the main PS, sluice gates, effluent filters, and final clarifier launders; installation of chemical phosphorous removal and SCADA; and demolition of the chorline contact chamber.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $8,352,772.00<br> Energy Conservation - Energy Efficiency: $12,529,157.00","Sugar Creek WWTP",NA,0,2017-04-13,2020-06-05,NA,NA,NA,NA,NA,"No",NA,c(1453158.59041887, 535660.143745806)
