"","ObjectID","Loc_name","Status","Score","Match_type","Match_addr","LongLabel","ShortLabel","Addr_type","Type","PlaceName","Place_addr","Phone","URL","Rank","AddBldg","AddNum","AddNumFrom","AddNumTo","AddRange","Side","StPreDir","StPreType","StName","StType","StDir","BldgType","BldgName","LevelType","LevelName","UnitType","UnitName","SubAddr","StAddr","Block","Sector","Nbrhd","District","City","MetroArea","Subregion","Region","RegionAbbr","Territory","Zone","Postal","PostalExt","Country","CntryName","LangCode","Distance","X","Y","DisplayX","DisplayY","Xmin","Xmax","Ymin","Ymax","ExInfo","IN_Address","IN_Address2","IN_Address3","IN_Neighborhood","IN_City","IN_Subregion","IN_Region","IN_Postal","IN_PostalExt","IN_CountryCode","USER_Region","USER_State","USER_Borrower_Name","USER_State_Tracking_Number","USER_Type_of_Assistance","USER_Supplemental_Appropriation","USER_Latest_Agreement_Action","USER_Initial_Agreement_Date","USER_Initial_Agreement_Amount","USER_Date_of_Latest_Agreement_Action","USER_Current_Agreement_Amount","USER_Annual_Interest_Rate____","USER_Annual_Fee_Rate____","USER_Annual_Finance_Charge____","USER_Upfront_Fees","USER_Repayment_Period__Years_","USER_Includes_Additional_Subsidy_","USER_Additional_Subsidy_Amount","USER_Green_Project_Reserve__GPR__Total","USER_Hardship_Disadvantaged_Community_","USER_Programmatic_Finance_","USER_Sponsorship_Lending_","USER_Sponsorship_Lending__Implementing_Partner","USER_Conduit_Finance_","USER_Subagreements_To_Date","USER_Total_Non_SRF_Co_funding","USER_Non_SRF_Co_funding___Federal","USER_Non_SRF_Co_funding___State","USER_Non_SRF_Co_funding___Local","USER_Project_Name","USER_Project_Description","USER_Project_Needs_Categories","USER_Facility_Name","USER_NPDES_Permit_Number","USER_Population_Served_by_Project","USER_Project_Start","USER_Project_Completion_Date","USER_Affected_Waterbody_Designation","USER_CWA_Compliance_Objective","USER_Designated_Water_Use___Protect","USER_Designated_Water_Use___Restore","USER_Improvement_or_Maintenance_of_Receiving_Waterbody_","USER_Linked_Assistance_Agreement_","USER_Linked_Assistance_Agreement___State_Tracking_Number","geometry"
"289",289,"World","M",100,"A","City of Rock Hill, South Carolina","City of Rock Hill, SC, USA","City of Rock Hill","Locality","City","City of Rock Hill","City of Rock Hill, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Rock Hill","","York County","South Carolina","SC","","","","","USA","United States","ENG",0,-81.02617,34.94079,-81.02617,34.94079,-81.11317,-80.93917,34.85379,35.02779,"","City of Rock Hill",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Rock Hill","X1-249-22-393-34","Loan","Not Applicable","Initial Agreement",2022-06-07,12787411,2022-06-07,12787411,1.81,0,1.81,44756,30,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"City of Rock Hill - Tech Park SS Outfall","Tech Park Sanitary Sewer Outfall Replacement.  Replacement of aging city gravity sewer lines that are prone to infiltration and inflow.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $12,787,411.00",NA,NA,84000,2022-11-01,NA,"Meeting Standards","Maintain Compliance","Freshwaters (FW): Primary",NA,"Maintenance","No",NA,c(1392833.34268746, 439577.035916616)
"323",323,"World","M",100,"A","City of Rock Hill, South Carolina","City of Rock Hill, SC, USA","City of Rock Hill","Locality","City","City of Rock Hill","City of Rock Hill, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Rock Hill","","York County","South Carolina","SC","","","","","USA","United States","ENG",0,-81.02617,34.94079,-81.02617,34.94079,-81.11317,-80.93917,34.85379,35.02779,"","City of Rock Hill",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Rock Hill","X1-221-19-393-29","Loan","Not Applicable","Initial Agreement",2020-06-25,4848432,2020-06-25,4848432,2.6,0,2.6,0,30,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"New Project",NA,NA,NA,NA,0,2020-08-03,NA,NA,NA,NA,NA,NA,"No",NA,c(1392833.34268746, 439577.035916616)
"324",324,"World","M",100,"A","City of Rock Hill, South Carolina","City of Rock Hill, SC, USA","City of Rock Hill","Locality","City","City of Rock Hill","City of Rock Hill, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Rock Hill","","York County","South Carolina","SC","","","","","USA","United States","ENG",0,-81.02617,34.94079,-81.02617,34.94079,-81.11317,-80.93917,34.85379,35.02779,"","City of Rock Hill",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Rock Hill","1-224-19-393-33","Loan","Not Applicable","Initial Agreement",2020-06-25,55300000,2020-06-25,55300000,2.8,0,2.8,193550,30,"No",0,0,"No","No","No",NA,"No",0,4548315,0,0,4548315,"Manchester Creek WWTP Upgrades & Expansion - Headworks Replacement","Improvements to the WWTP include construction of: A new 20 MGD average/60 MGD peak flow influent pump station with two new coarse screens, three new fine screens and three grit removal systems, new odor control, electrical upgrades, a new 8.3 MG equalization basin, a new hauled waste facility and necessary appurtenances.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $55,300,000.00","ROCK HILL/MANCHESTER CREEK","SC0020443",65000,2020-05-20,2023-10-11,"Meeting Standards","Maintain Compliance","Freshwaters (FW): Primary","Freshwaters (FW): Secondary","Improvement","No",NA,c(1392833.34268746, 439577.035916616)
"331",331,"World","M",100,"A","City of Camden, South Carolina","City of Camden, SC, USA","City of Camden","Locality","City","City of Camden","City of Camden, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Camden","","Kershaw County","South Carolina","SC","","","","","USA","United States","ENG",0,-80.60846,34.25638,-80.60846,34.25638,-80.85846,-80.35846,34.00638,34.50638,"","City of Camden",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Camden","X1-218-19-433-05","Loan","Not Applicable","Initial Agreement",2019-09-12,2051531,2019-09-12,2051531,2.6,NA,2.6,7180,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Kirkwood, Ancrum and Ehrenclou Community Sewer Improvements","Installation of approximately 1,680 linear feet (LF) of 8-inch PVC gravity sewer including two 4-foot diameter pre-cast doghouse manholes and nine 4-foot diameter standard pre-cast manholes, approximately 70 LF of 4-inch PVC sewer force main, one 161 gpm duplex submersible wastewater lift station and all associated appurtenances. This project will positively affect e.coli/fecal, BOD and TSS.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $2,051,531.00","City of Camden Wastewater Treatment Facilities ","SC0021032",650,2019-04-01,2019-10-31,NA,"Maintain Compliance",NA,NA,"Improvement","No",NA,c(1513957.26569215, 188239.000144321)
"332",332,"World","M",100,"A","Town of Fort Lawn, South Carolina","Town of Fort Lawn, SC, USA","Town of Fort Lawn","Locality","City","Town of Fort Lawn","Town of Fort Lawn, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Fort Lawn","","Chester County","South Carolina","SC","","","","","USA","United States","ENG",0,-80.89912,34.70023,-80.89912,34.70023,-80.91312,-80.88512,34.68623,34.71423,"","Town of Fort Lawn",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","Town of Fort Lawn","F1-17-737-01","Loan","Not Applicable","Initial Agreement",2019-09-06,455385,2019-09-06,455385,0,0,0,0,0,"Yes",455385,0,"Yes","No","No",NA,"No",0,0,0,0,0,"Sewer System Evaluation Survey","This project involves conducting a Sanitary Sewer Evaluation Survey on the Town's gravity sewer collection system. The work will include preliminary investigation, field investigation (to include MH Inspections, Smoke Testing, Dye Testing, 100% CCTV), prioritization and recommendation development and the creation of a Preliminary Engineering Report.","Other - Planning and Assessments: $455,385.00",NA,NA,745,2019-09-30,2020-08-26,"Impaired","Not Applicable",NA,NA,"Improvement","No",NA,c(1429225.88274451, 351293.121320475)
"342",342,"World","M",100,"A","Town of Fort Mill, South Carolina","Town of Fort Mill, SC, USA","Town of Fort Mill","Locality","City","Town of Fort Mill","Town of Fort Mill, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Fort Mill","","York County","South Carolina","SC","","","","","USA","United States","ENG",0,-80.93626,35.00858,-80.93626,35.00858,-80.99426,-80.87826,34.95058,35.06658,"","Town of Fort Mill",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","Town of Fort Mill","1-213-19-336-09","Loan","Not Applicable","Initial Agreement",2019-04-11,35000000,2019-04-11,35000000,2.6,0,2.6,122500,30,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Town of Fort Mill Water Polution Control Plant Expansion","Expansion of the existing facility from 3.0 MGD to 4.5 MGD. Upgrades include a new influent pump station, coarse screens, grit removal, fine screens, biological nutrient removal basins, membrane basins, ultraviolet disinfection, belt filter press, equalization tank, chemical facilities, yard piping and electrical distribution equipment.","Centralized Wastewater Treatment - Advanced Treatment: $35,000,000.00","Town of Fort Mill","SC0020371",8000,2019-02-20,2022-09-12,"Impaired","Maintain Compliance","Drinking water supply: Primary<br><br>Drinking water supply: Primary",NA,"Improvement","No",NA,c(1420253.65707236, 463705.704121681)
"349",349,"World","M",100,"A","Town of Clover, South Carolina","Town of Clover, SC, USA","Town of Clover","Locality","City","Town of Clover","Town of Clover, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Clover","","York County","South Carolina","SC","","","","","USA","United States","ENG",0,-81.22013,35.11235,-81.22013,35.11235,-81.25513,-81.18513,35.07735,35.14735,"","Town of Clover",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","Town of Clover","F1-16-402-10","Loan","Not Applicable","Initial Agreement",2018-03-16,468800,2018-03-16,468800,NA,NA,0,0,0,"Yes",468800,0,"No","No","No",NA,"No",0,0,0,0,0,"Calabash Wastewater System Improvements","The project consists of three(3) components: 1-new bar screen at the Calabash Wastewater treatment plant. 2 - rehabilitate the air diffuser system in the existing wetwell at the Calabash WWTP. 3 - replace existing deteriorated gravity sewer line on Guinn Street.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $468,800.00","Town of Clover",NA,5287,2018-05-02,2018-11-30,NA,"Achieve Compliance","Drinking water supply: Primary",NA,"Improvement","No",NA,c(1336116.37361462, 503241.320513977)
"350",350,"World","M",100,"A","City of Lancaster, South Carolina","City of Lancaster, SC, USA","City of Lancaster","Locality","City","City of Lancaster","City of Lancaster, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Lancaster","","Lancaster County","South Carolina","SC","","","","","USA","United States","ENG",0,-80.77999,34.72461,-80.77999,34.72461,-80.81599,-80.74399,34.68861,34.76061,"","City of Lancaster",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Lancaster","X1-190-17-497-17","Loan","Not Applicable","Initial Agreement",2018-02-13,3540599,2018-02-13,3540599,1.5,NA,1.5,8892,30,"Yes",1000000,0,"No","No","No",NA,"No",0,0,0,0,0,"West Arch Street and Poovey Farms Sewer Rehabilitation - Basins 17 and 23","West Arch Street Sewer Rehabilitation - Basin 17: Collection system rehabilitation includes complete pipe replacements, CIPP lining, point repairs and the relocation of several gravity mains. The relocations will include a total approximately 1620 linear feet (LF) of 8-inch gravity mains and a total of seven 4-foot diameter manholes.
Poovey Farms Sewer Rehabilitation - Basin 23: Rehabilitation of sanitary sewer and manholes including pipe replacements, CIPP lining, point repairs and manhole repairs. Project also includes rerouting of several gravity mains to reduce future potential conflicts requiring the installation of approximately 1037 LF of new gravity sewer and associated appurtenances.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $3,540,599.00","City of Lancaster","SC0046892",570,2018-03-19,2018-11-19,"Impaired","Achieve Compliance",NA,NA,"Improvement","No",NA,c(1465185.121403, 359500.825586785)
"363",363,"World","M",100,"A","City of Rock Hill, South Carolina","City of Rock Hill, SC, USA","City of Rock Hill","Locality","City","City of Rock Hill","City of Rock Hill, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Rock Hill","","York County","South Carolina","SC","","","","","USA","United States","ENG",0,-81.02617,34.94079,-81.02617,34.94079,-81.11317,-80.93917,34.85379,35.02779,"","City of Rock Hill",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Rock Hill","X1-187-16-393-26","Loan","Not Applicable","Initial Agreement",2017-06-28,4834164,2017-06-28,4834164,1.8,0,2.05,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"2016 Stormwater Improvements","Stormwater improvements in the following four areas are as summarized below and as defined in further detail in the Department's Project files.
Aldergate Road includes replacing an existing 66-inch culvert with a 12 foot x 6 foot box culvert.
Charlotte Avenue/Marydale Lane includes replacing existing culverts with larger capacity box culverts.
Grand Oaks Drive-Miller Pond involves replacing an existing culvert with a larger capacity box culvert.
Thornwell Avenue involves replacing four existing culverts with larger capacity box culverts.","Stormwater - Gray Infrastructure: $4,834,164.00","City of Rock Hill Stormwater Improvements","SC0020443",1650,2017-05-26,2020-08-27,"Not Applicable","Maintain Compliance",NA,NA,"Maintenance","No",NA,c(1392833.34268746, 439577.035916616)
"365",365,"World","M",100,"A","City of Lancaster, South Carolina","City of Lancaster, SC, USA","City of Lancaster","Locality","City","City of Lancaster","City of Lancaster, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Lancaster","","Lancaster County","South Carolina","SC","","","","","USA","United States","ENG",0,-80.77999,34.72461,-80.77999,34.72461,-80.81599,-80.74399,34.68861,34.76061,"","City of Lancaster",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Lancaster","F1-15-497-18","Loan","Not Applicable","Initial Agreement",2017-06-15,1000000,2017-06-15,1000000,NA,NA,0,0,0,"Yes",1000000,0,"No","No","No",NA,"No",0,0,0,0,0,"Erwin Farms Sewer Rehabilitation","The Erwin Farms sewer basin rehabilitation project will include 91 point repairs, 500 linear feet (LF) of 6-inch gravity sewer replacement with 8-inch gravity sewer, 4000 LF of 8-inch gravity sewer replacement, cured-in-place pipe lining of 30,700 LF of gravity sewer, cleaning and inspection of 4500 LF of gravity sewer, rehabilitation and/or lining of 150 manholes, inspection, rehabilitation, and/or reconnection of 200 lateral connections, installation of 200 cleanouts, and all associated necessary appurtenances.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $1,000,000.00","City of Lancaster","SC0046892",0,2017-07-01,2018-08-30,NA,"Achieve Compliance","Drinking water supply: Primary",NA,"Improvement","No",NA,c(1465185.121403, 359500.825586785)
"369",369,"World","M",100,"M","Kershaw County, South Carolina","Kershaw County, SC, USA","Kershaw County","Locality","County","Kershaw County","South Carolina"," "," ",10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Kershaw County","South Carolina","SC"," "," "," "," ","USA","United States","ENG",0,-80.590273665002,34.338720297808,-80.590273665002,34.338720297808,-80.875273665002,-80.305273665002,34.053720297808,34.623720297808," ","Kershaw County",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","Kershaw County","X1-177-16-587-06","Loan","Not Applicable","Initial Agreement",2017-03-17,600000,2017-03-17,600000,1.4,NA,1.4,1500,5,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Chlorine Chamber Improvements and Lab/Operations Building","Upgrade of the existing wastewater treatment plant by installing two (2) 180 gallon per minute submersible pumps at the chlorine contact chamber, approximately 200 linear feet (LF) of 4-inch DIP force main, 550 LF of 1.5 inch PVC force main, and constructing a lab/operations building.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $600,000.00","Kershaw County/Lugoff WWTP","SC0039870",24000,2017-01-04,2017-06-06,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1519932.35861557, 218113.48054427)
"372",372,"World","M",100,"A","City of Lancaster, South Carolina","City of Lancaster, SC, USA","City of Lancaster","Locality","City","City of Lancaster","City of Lancaster, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Lancaster","","Lancaster County","South Carolina","SC","","","","","USA","United States","ENG",0,-80.77999,34.72461,-80.77999,34.72461,-80.81599,-80.74399,34.68861,34.76061,"","City of Lancaster",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Lancaster","X1-186-16-497-18","Loan","Not Applicable","Initial Agreement",2017-01-13,4612367,2017-01-13,4612367,1,0,1.0025,0,20,"Yes",1000000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"Erwin Farms Sewer Rehabilitation - Basin 18","Relocation of approximately 250 linear feet (LF) of 8-inch gravity sewer line to eliminate conflicts with existing structures. Rehabilitation of existing gravity sewer system including 74 point repairs; 2600 LF of 8-inch gravity sewer replacement; cured-in-place pipe lining of 22,000 LF of gravity sewer; cleaning and inspection of 22,950 LF of gravity sewer; rehabilitation and/or lining of 135 manholes; inspection, rehabilitation, and/or reconnection of 205 lateral connections; installation of 185 cleanouts; and all associated necessary appurtenances.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $4,612,367.00","City of Lancaster","SC0046892",731,2017-02-06,2017-10-06,"Meeting Standards","Achieve Compliance","Drinking water supply: Primary",NA,"Improvement","No",NA,c(1465185.121403, 359500.825586785)
"376",376,"World","M",100,"A","City of Camden, South Carolina","City of Camden, SC, USA","City of Camden","Locality","City","City of Camden","City of Camden, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Camden","","Kershaw County","South Carolina","SC","","","","","USA","United States","ENG",0,-80.60846,34.25638,-80.60846,34.25638,-80.85846,-80.35846,34.00638,34.50638,"","City of Camden",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Camden","X1-185-16-433-03","Loan","Not Applicable","Initial Agreement",2016-11-23,7089206,2016-11-23,7089206,1.8,0,2.05,17723,30,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Sewer Line Rehabilitation & Replacement","Blackhawk Sewer Line Rehabilitation & Replacement: Rehabilitation/replacement of sewer lines with approximate quantities of: 10,500 linear feet (LF) of 8-inch pipe lined with cured in place liner; 1800 LF of 6-inch pipe bursted and lined with 8-inch HDPE pipe; 7100 LF of 6-inch pipe replaced with 8-inch pipe; 2700 LF of 8-inch VC pipe replaced with 8-inch PVC pipe; 100 manholes rehabilitated or replaced, service connections and all necessary appurtenances.
Truck Route Sewer Line Rehabilitation and Relocation - Phase I: Approximately 223 LF of 18-inch PVC, 52 LF of 15-inch PVC and 371 LF of 8-inch PVC relocated gravity sewer, 732 LF of cured-in-place liner in 8-inch VCP gravity sewer; 1542 LF of 10-inch PVC and 753 LF of 3-inch PVC relocated force main; 9 relocated manholes and necessary appurtenances.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $7,089,206.00","City of Camden Utilties ","SC0021032",15594,2016-12-13,2017-11-01,NA,"Maintain Compliance",NA,NA,NA,"No",NA,c(1513957.26569215, 188239.000144321)
"383",383,"World","M",100,"A","City of Tega Cay, South Carolina","City of Tega Cay, SC, USA","City of Tega Cay","Locality","City","City of Tega Cay","City of Tega Cay, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Tega Cay","","York County","South Carolina","SC","","","","","USA","United States","ENG",0,-81.01426,35.03615,-81.01426,35.03615,-81.03926,-80.98926,35.01115,35.06115,"","City of Tega Cay",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Tega Cay","X1-168-15-731-01","Loan","Not Applicable","Initial Agreement",2015-12-17,6757377,2015-12-17,6757377,2,NA,2,NA,30,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"Sewer Rehabilitation of Purchased Private Utility","Gravity Sewer Rehabilitation rehabbing approx. 31,500 LF of gravity sewer lines including video of lines & cleaning of lines, point repairs, cast in place pipe, replacing gravity sewer line, rehabilitation of approximately 1100 vertical feet of manholes & 150 service connections; Collection System Improvements involve approximately 3300 LF of 6-inch force main, 4000 LF of 10-inch force main, 1 new intermediate duplex lift station, valves, fittings and appurtenances;and Wastewater Treatment Plant Improvements for WWTP #2 and WWTP #3, upgrading the aeration equipment with new fine bubble diffusers, installing new UV disinfection equipment, stainless steel mesh filters, installing a new triplex lift station, modifications to the existing pump station for use with the equalization basin, and all necessary modifications and appurtenances to complete the installation. At WWTP #4, install floating mixers in the equalization basin along with necessary pumping modifications and appurtenances to transport the wastewater to WWTP #2 and WWTP #3. Also includes the installation of an intermediate pump station that will have the ability to transfer flow from the collection system to either WWTP #2 or WWTP #3.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $6,757,377.00","Tega Cay Sewer System","SC0026751",4740,2016-01-04,2017-01-01,"Meeting Standards","Achieve Compliance","Drinking water supply: Primary<br><br>Primary contact recreation: Secondary",NA,"Improvement","No",NA,c(1397105.96440903, 474202.038699536)
"389",389,"World","M",100,"A","City of Rock Hill, South Carolina","City of Rock Hill, SC, USA","City of Rock Hill","Locality","City","City of Rock Hill","City of Rock Hill, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Rock Hill","","York County","South Carolina","SC","","","","","USA","United States","ENG",0,-81.02617,34.94079,-81.02617,34.94079,-81.11317,-80.93917,34.85379,35.02779,"","City of Rock Hill",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","City of Rock Hill","X1-171-15-393-22","Loan","Not Applicable","Initial Agreement",2015-04-30,4022585,2015-04-30,4022585,2,NA,2,NA,30,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"2015 Stormwater Improvements","Hagins/Allen Streets involves replacing an existing culvert, stream benching restoration, and installation of a rain garden; reduce flooding of homes on Friendship Drive & protect TMDL of Wildcat Creek.
Charlotte Avenue includes replacing and upsizing an existing culvert, minor stream restoration, replacing an existing roadway drainage system, and installing a settling pool; reduce flooding & remove sediment mechanically before it goes into ponds at Glencairn Gardens.
Woodhaven/Pinevally/Midbrook Streets entails replacing and upsizing a culvert, minor stream restoration, and replacing an existing roadway drainage system; includes bank stabilization & outfall protection adjacent to the ends of the culverts, will reduce instances of bank erosion & downstream sedimentation.
Rawlinson Acres II involves installing an additional parallel culvert and minor stream restoration to reduce flooding upstream, enhance bank stabilization; TSS water quality parameters will improve.","Stormwater - Gray Infrastructure: $4,022,585.00","City of Rock Hill","SC0020443",2180,2015-04-15,2015-10-26,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1392833.34268746, 439577.035916616)
"401",401,"World","M",100,"A","Town of Great Falls, South Carolina","Town of Great Falls, SC, USA","Town of Great Falls","Locality","City","Town of Great Falls","Town of Great Falls, South Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Great Falls","","Chester County","South Carolina","SC","","","","","USA","United States","ENG",0,-80.90482,34.57534,-80.90482,34.57534,-80.92682,-80.88282,34.55334,34.59734,"","Town of Great Falls",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","Town of Great Falls","F1-12-210-02","Loan","Not Applicable","Initial Agreement",2014-02-28,241000,2014-02-28,241000,NA,NA,0,0,0,"Yes",241000,0,"No","No","No",NA,"No",0,0,0,0,0,"Improvements to Wastewater Treatment Facility","New 1.4 MGD mechanical bar screen, modifications to grit collection system, and repair of leaks in aeration basin wall and influent channel.","Centralized Wastewater Treatment - Secondary Treatment: $48,200.00<br> Centralized Wastewater Treatment - Sewer System Rehabilitation: $192,800.00","Town of Great Falls Wastewater Treatment Facility","SC0021211",2194,2014-05-01,2014-09-30,"Meeting Standards","Maintain Compliance","Drinking water supply: Primary",NA,"Maintenance","No",NA,c(1426640.90065403, 305883.058799605)
"405",405,"World","M",100,"M","Kershaw County, South Carolina","Kershaw County, SC, USA","Kershaw County","Locality","County","Kershaw County","South Carolina"," "," ",10," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Kershaw County","South Carolina","SC"," "," "," "," ","USA","United States","ENG",0,-80.590273665002,34.338720297808,-80.590273665002,34.338720297808,-80.875273665002,-80.305273665002,34.053720297808,34.623720297808," ","Kershaw County",NA,NA,NA,NA,NA,"South Carolina",NA,NA,NA,"Region 4","South Carolina","Kershaw County","F1-11-587-05","Loan","Not Applicable","Final Agreement",2013-11-20,550500,2013-11-21,555500,NA,NA,0,NA,0,"Yes",555500,0,"No","No","No",NA,"No",0,0,0,0,0,"Kershaw County Septage Receiving Station","Addition of a package septage receiving station with flow meter, sensors, and controls, along with associated site work, at the Kershaw County Lugoff Wastewater Treatment Plant (WWTP). Also included is an improved WWTP access road and the relocation of the WWTP's existing 3-inch water service line with approximately 2,500 linear feet of new 3-inch line.","Centralized Wastewater Treatment - Secondary Treatment: $555,500.00","Septage Receiving Station for Lugoff WWTP","SC0039870",24000,2013-12-01,2014-12-01,NA,"Maintain Compliance",NA,NA,"Maintenance","No",NA,c(1519932.35861557, 218113.48054427)
