id,Fund,Fiscal_Year,State,County,latitude,longitude,Sponsor,Project,DHEC Project Number,Project Description,SC Water System ID Number,Total Project Cost Estimate,Estimated SRF Loan Amount,Estimated Principal Forgiveness Assistance 1,Estimated Green Project Reserve Amount 2,Sponsor's Service Population,Population Affected by Project,Total Points,Note
1,DWSRF,2014,South Carolina,Union ,34.7092266,-81.84574624,Meansville-Riley Water Company,Woodruff-Roebuck Connections,SRF-4420001-01,"Installation of ~20,000 LF of water line, 2 master meters, back flow prevention, SCADA monitoring and all appurtenances to connect the MRWS to Woodruff- Roebuck Water System. MRWS is currently under enforcement for excess Total Trihalomethanes.",,"$836,000",836000,800000,,,2340,135,
2,DWSRF,2014,South Carolina,Edgefield,33.51336281,-81.96121005,North Augusta,Raw Water Tank,SRF-0210003-01,Construct a pre-stressed 30 million gallon concrete raw water storage tank and raw water transfer pump station to help the system meet Stage 2 Disinfection Byproducts rule.,,"$12,000,000",12000000,,,,26273,80,
3,DWSRF,2014,South Carolina,Newberry ,34.19072734,-81.71989897,Newberry,Finished Water Storage Additions to Water Plant and Distribution System,SRF-3610001-01,"Install new concrete clearwell, upgrade high service pumping facility and add to the residuals handling facility along with new carbon feed equipment and replacing rapid and post mixers, filters 1-4 and sedimentation basin 1& 2 valves and liquid lime feed facility at the WTP. Also, construct a new elevated storage tank.",,"$7,000,000",7000000,,,,10288,10,
4,DWSRF,2014,South Carolina,Abbeville ,34.09202812,-82.59570885,Calhoun Falls,Water Extension to Country Lane Area,SRF-0110002-04,Installation of waterlines to serve a community currently under an indefinite boil water notice for contamination of a well with E. coli. Project will allow Calhoun Falls to takeover the non-viable system.,,"$400,000",400000,400000,,,60,150,
5,DWSRF,2014,South Carolina,Florence,34.18366437,-79.77392906,Florence,Timmonsville Water System Improvements,SRF-2110005-01,"Improvements to the Timmonsville water distribution system to include the addition of  2 booster pump stations, upgrades for 3 elevated storage tanks and replacement of 1000 meters with AMR meters to address pressure problems and system operation.",,"$3,528,750",3528750,1000000,,,2221,105,
6,DWSRF,2014,South Carolina,Colleton ,32.49013866,-80.32570817,Edisto Beach,Reverse Osmosis Project,SRF-1510006-03,"Installation of a Reverse Osmosis Treatment Plant to produce 1.2 MGD of treated water to address high concentrations of fluoride, chloride and sodium that exceed National Secondary Drinking Water Standards. Also install a new supply well and possibly an ASR well for storage.",,"$8,462,250",8462250,,,,5856,95,
7,DWSRF,2014,South Carolina,Lancaster ,34.58414925,-80.67145187,Heath Springs,Elevated Water Tank Restoration,SRF-2910002-01,"Restoration of College Street water tank to include cleaning and coating of interior, preparation and painting of exterior and repair holes on tank riser, water level indicator and control probes.",,"$100,000",100000,100000,,,850,95,
8,DWSRF,2014,South Carolina,Florence ,33.99586095,-79.56616443,Pamplico,Shirley Road Water Line,SRF-2110010-04,"Installation of ~10,200 LF of 6"" water line to extend water lines to 18 residences with wells located in an area with a high water table and septic tanks with a high potential of failure.",,"$193,371",193371,193371,,,45,90,
9,DWSRF,2014,South Carolina,Aiken ,33.32756088,-81.78984938,Jackson,Town of Jackson 2012 Water System Improvements,0210002-05,"Install  ~16,265 LF of 10"" PVC water main, 2,445 LF of 8"" water main,  835 LF of 6"" PVC water main and all necessary appertenances to result in better water pressure in the affected area.",,"$984,996",984996,,,,679,90,
10,DWSRF,2014,South Carolina,Abbeville,34.39552923,-82.24544917,Ware Shoals,Smith Street Water Improvements,SRF-2410003-04,Replace ~2950 LF of old 2 & 4-inch galvanized and asbestos waterlines with new 6-inch PVC pipe.,,"$308,850",308850,,,,50,85,
11,DWSRF,2014,South Carolina,Edgefield,33.51336281,-81.96121005,North Augusta,Water Treatment Plant Replacement,SRF-0210003-02,Replace aging portions of the existing water treatment plant to enhance regulatory compliance with Stage2 disinfection By-Products Rule.,,"$8,000,000",8000000,,,,26273,80,
12,DWSRF,2014,South Carolina,Beaufort ,32.20263775,-80.73400883,Hilton Head Public Service District,Water System Upgrade,SRF-0720006-04,"1 million gallon per day expansin of an exisiting Reverse Osmosis treatment plant to 4.0 mgd and the upgrade of three supply wells. Also an interconnect of the PSD's 24"" water main from the mainland and construction of a booster pump station.",,"$3,250,000",3250000,,,,16000,80,
13,DWSRF,2014,South Carolina,Berkeley ,32.99986854,-80.04539978,Goose Creek,Water System Improvments,SRF-0810004-01,Construct a 1.0 MG elevated storage tank and install transmission main and distribution piping to bring the water storage system up to DHEC minimum standards and to address water quality issues.,,"$7,900,000",6000000,,,,38000,80,
14,DWSRF,2014,South Carolina,Lexington ,33.96438651,-81.0630169,Cayce,Highway 321 Waterline Replacement,SRF-3210003-01,"Installation of ~5,500 LF of 30"" DIP water main and
~3,500 LF of 24"" DIP water main with hydrants, valves and necessary appurtenances.",,"$3,300,000",3300000,,,,17000,80,
15,DWSRF,2014,South Carolina,Orangeburg ,33.49826858,-80.85813944,Orangeburg,Rehabilitation and Upgrade of Clearwell #2),SRF-3810001-02,"Improvements to clearwell #2 to include replace concrete roof with aluminum roof, electrical and instrumentation system improvements, safety improvements and miscellaneous site work.",,"$2,500,000",2500000,,,,60000,40,
16,DWSRF,2014,South Carolina,Anderson ,34.68372751,-82.80474396,Clemson,Substandard Line Replacement,SRF-3910004-03,"Replace ~36290 linear feet of waterlines ranging in size from 1.5"" to 10"" that have a historical failure rate with DIP and some PVC in the smaller line sizes.",,"$1,600,000",1600000,,,,14410,20,
17,DWSRF,2014,South Carolina,Beaufort ,32.20263775,-80.73400883,Hilton Head Public Service District,Automatic Meter Reading / Advanced Metering Infrastructure,SRF-0720006-05,"Retrofit of ~12,000 water meters for automatic read and installation of tower base stations and automatic read/advance metering infrastructure software.",,"$2,250,000",2250000,,2250000,,16000,10,
18,DWSRF,2015,South Carolina,Berkeley ,32.99986854,-80.04539978,Goose Creek,Water System Improvments,0810004-01,Construct a 1.0 MG elevated storage tank and install transmission main and distribution piping to bring the water storage system up to DHEC minimum standards and to address water quality issues.,,"$7,900,000",6000000,,,,38000,80,
19,DWSRF,2015,South Carolina,Florence,34.18366437,-79.77392906,Florence,Timmonsville Water System Improvements,2110005-01,"Improvements to the Timmonsville water distribution system to address pressure problems and system operation - includes the addition of  2 booster pump stations, upgrades for 3 elevated storage tanks, installation of SCADA monitoring at multiple sites and
replacement of 1000 meters with AMR meters.",,"$3,528,750",1494220,,,,2221,105,
20,DWSRF,2015,South Carolina,Greenwood,34.12445103,-82.11739653,Greenwood CPW,Harless-Seymour (Franklin S/D) Water System Replacement,2410001-08,"Installation of ~3,300 LF of 12 inch water main, ~2,800 LF of 6 inch water main, fire hydrants and related appurtenances. The project will replace the Harless- Seymour Water System and allow Greenwood CPW to take over operations of the currently non-viable system.",,"$399,535",,351590,,,205,140,
21,DWSRF,2015,South Carolina,Sumter ,33.94845057,-80.38026551,Sumter,Rembert System Rembert-High Hills water system connection project,4310001-01,"Install ~15,000 LF of 6"" water line and all appurtenances to connect the Rembert water system, operated by City of Sumter, to the High Hills water system and allow for closure of the Rembert system wells, which have high levels of radium.",,"$403,100",,106100,,,315,110,
22,DWSRF,2015,South Carolina,Marlboro ,34.58013151,-79.54616016,Clio,Water Valves and Fire Hydrants Improvements,3410002-03,"Locate/uncover and replace, as needed, 50 valves and replace 28 inoperable fire hydrants to allow for proper line flushing.",,"$227,000",,227000,,,942,105,
23,DWSRF,2015,South Carolina,Darlington ,34.1693559,-80.06460836,Lamar,Well and Water Treatment Plant,1610004-01,Installation of a new well and construction of a water treatment plant to replace an existing well with radium 226/228 in exceedance of the MCL.,,"$1,400,000",1400000,,,,1800,105,
24,DWSRF,2015,South Carolina,Colleton ,32.49013866,-80.32570817,Edisto Beach,Reverse Osmosis Project,1510006-03,"Installation of a Reverse Osmosis Treatment Plant to produce 1.2 MGD of treated water to address high concentrations of fluoride, chloride and sodium that exceed National Secondary Drinking Water Standards. Install a new supply well and possibly an ASR well for storage.",,"$8,462,250",8462250,,,,5238,95,
25,DWSRF,2015,South Carolina,Barnwell ,33.27406865,-81.24619068,Hilda,"Liquid Chlorine, Emergency Generators, Tank Sanitation, Loop of Water Lines",0610001-01,"Install liquid chlorine injection system on well 1&2, install emergency generators on Well 1&2, clean/ paint elevated storage tank as needed, and loop water lines as needed.",,"$300,000",,300000,,,300000,95,
26,DWSRF,2015,South Carolina,York ,35.11072093,-81.22657785,Clover,Water Tanks Rehabilitation,4610006-01,Rehabilitation of the town's two elevated water storage tanks in order to maintain compliance with DHEC regulations.,,"$151,200",,151200,,,5287,90,
27,DWSRF,2015,South Carolina,Fairfield,34.53495289,-80.94281205,Mitford Rural Water District of Fairfield and Chester Counties,Water System Upgrade New Elevated Water Storage Tank,2020005-01,"Installation of new 500,000 gallon elevated water tank to replace aging undersized tank and improve system pressures.",,"$1,547,000",,887790,,,3280,90,
28,DWSRF,2015,South Carolina,Kershaw ,34.41456185,-80.34695757,Bethune Rural Water Company,Generators,2820006-02,Install generators at the system's four wells and three booster pump stations.,,"$325,000",325000,,,,3600,90,
29,DWSRF,2015,South Carolina,Charleston ,32.80991681,-79.83313554,Mount Pleasant Waterworks,Distribution Rehab Program - Dunes West and Park West S/D,1010002-07,Replace non-stainless valve bolts and saddles with stainless steel on waterlines in two subdivisions with highly corrosive soils and an increasing incidence of failure of waterlines.,,"$2,209,118",2209118,,,,68000,80,
30,DWSRF,2015,South Carolina,Horry ,33.77413013,-79.01888945,Grand Strand Water & Sewer Authority,Bull Creek/ Myrtle Beach Water System Interconnection Phase 2,2620004-22,"Construction of pumping station and 8,400 LF of 36"" pipeline to interconnect the Myrtle Beach water system and the Bull Creek water system.",,"$8,300,000",8300000,,,,235000,80,
31,DWSRF,2015,South Carolina,Laurens,34.55916756,-82.08202489,Laurens County Water & Sewer Commission,Standby Power for Raider Road & Fountain Inn Booster Pump Stations,3020001-04,"Install diesel generator, transfer switch and wiring at the Raider Rd booster pump station & install natural gas generator, transfer switch, wiring, natural gas piping, entrance gate in fence and gravel drive at the Fountain Inn booster pump station to maintain system pressures
during an electrical outage.",,"$163,200",163200,,,,15000,80,
32,DWSRF,2015,South Carolina,Williamsburg ,33.58026499,-79.98932504,Greeleyville,Water Improvements - 2014,4510001-01,Install transmission lines and lateral water lines to provide water connections to residents on private wells that are susceptible to contamination due to failing onsite wastewater systems and high water table.,,"$530,520",,530520,,,78 3,75,
33,DWSRF,2015,South Carolina,Spartanburg ,35.01616715,-81.85124489,Spartanburg Water,Mathis Dairy Road Waterline Extension,4210001-07,"Install ~1965 linear feet of 6"" and 4"" water main and related appurtenances along Mathis Dairy Road to supply public water to an area of residences with contaminated private wells.",,"$99,300",,99300,,,"4
70",60,
34,DWSRF,2015,South Carolina,Georgetown,33.39209734,-79.33125401,Georgetown County Water and Sewer District,Robert E. Barker Water Treatment Plant Division 3,2220004-03,"Construction of 18,900 LF of 12"" and 18"" water line to connect the new groundwater tank and high service pumps installed in Phase 1 to existing lines to the north on Choppee Road (Plantersville System).",,"$1,500,000",1500000,,,,2000,50,
35,DWSRF,2015,South Carolina,Marlboro ,34.58013151,-79.54616016,Clio,Church and Ivey Street Water Main Replacement,3410002-01,Replacement of 3900 LF of cast iron water mains on Church and Ivey Streets and 10 fire hydrants.,,"$265,900",265900,,,,942,35,
36,DWSRF,2015,South Carolina,Union ,34.78714358,-81.46352507,Lockhart,SC HWY 9 - Waterline Relocations,4420010-01,"Waterline relocation and replacement due to SCDOT bridge replacement/relocation. Various 8"" and 6"" water lines to be installed in the ground and along the bridge.",,"$155,000",155000,,,,740,25,
37,DWSRF,2015,South Carolina,Lexington ,33.96438651,-81.0630169,Cayce,"The Avenues, Broadacres, N. Frink St., and Glenn St. Tank Water System Replacement",3210003-02,"Replacement of aging Glenn St. Tank with new elevated or ground storage tank with booster pump station and replacement of ~216,000 linear feet of old, tuberculated galvanized and cast iron water lines with new PVC and DIP water lines, including hydrants,
valves and appurtenances.",,"$15,700,000",15700000,,,,10000,20,
38,DWSRF,2015,South Carolina,Florence ,33.936348,-79.93234141,Olanta,"Water Meter Replacement, Water Meter Box and GPS Mapping",2110006-02,"Replace 337 broken, malfunctioning and old residential meters with radio read meters.",,"$314,765",314765,,314765,,667,20,
39,DWSRF,2015,South Carolina,Williamsburg ,33.5245672,-79.87943265,Lane,Water Meter Replacement and Water Boxes,4510005-01,"Replace 265 broken, malfunctioning and old residential meters with radio read meters.",,"$251,900",251900,,251900,,691,20,
40,DWSRF,2015,South Carolina,Kershaw ,34.41456185,-80.34695757,Bethune Rural Water Company,Meter Change Out Project,2820006-01,Replace ~ 1400 old malfunctioning meters with radio read meters and associated software.,,"$520,000",520000,,520000,,3600,20,
41,DWSRF,2015,South Carolina,Horry ,33.77413013,-79.01888945,Grand Strand Water & Sewer Authority,MBSWTP Ozone system Improvements,2610001-02,Ozone system modifications and improvements at the Myrtle Beach Surface Water Treatment Plant to convert from an air-fed system to a liquid oxygen-feed system.,,"$3,000,000",3000000,,,,105000,20,
42,DWSRF,2015,South Carolina,Dorchester,33.01343105,-80.23829582,Dorchester County Water Authority,DCWA Radio Read Changeover,1820001-01,"Replacement of ~5,000 old meters with radio read meters.",,"$1,120,000",1120000,,1120000,,14500,10,
43,DWSRF,2016,South Carolina,Greenwood,34.12445103,-82.11739653,Greenwood CPW,Harless-Seymour (Franklin S/D) Water System Replacement,2410001-08,"Installation of ~3,300 LF of 12 inch water main, ~2,800 LF of 6 inch water main, fire hydrants and related appurtenances. The project will replace the Harless- Seymour Water System and allow Greenwood CPW to take over operations of the currently non-viable system.",,"$516,000",,180033,,,205,140,
44,DWSRF,2016,South Carolina,Barnwell ,33.27406865,-81.24619068,Hilda,"Liquid Chlorine, Emergency Generators, Tank Sanitation, Loop of Water Lines",0610001-01,"Install liquid chlorine injection system on well 1&2, install emergency generators on Well 1&2, clean/ paint elevated storage tank as needed, and loop water lines
as needed.",,"$549,368",,249368,,,447,95,
45,DWSRF,2016,South Carolina,Berkeley ,33.28520646,-79.69357981,Jamestown,Replacing or Rehabilitating Aging Infrastructure,0810003-01,Rehabilitate two wells to address water clarity and sand in water from these wells.,,"$60,500",,60500,,,775,90,
46,DWSRF,2016,South Carolina,Florence ,33.936348,-79.93234141,Olanta,Water System Improvements - Elevated Storage Tank,2110006-03,"Construct a 200,000 gallon elevated storage tank to maintain compliance with DHEC storage requirements.",,"$1,324,000",,926000,,,667,90,
47,DWSRF,2016,South Carolina,Beaufort,32.31843203,-80.47653826,Fripp Island PSD,Harbor River Waterline Replacement,0720002-02,"Replace ~3,500 LF of 10"" waterline crossing the Harbor River due to DOT bridge replacement. This line is the only connection to the Island's water supplier.",,"$2,500,000",2500000,,,,5495,85,
48,DWSRF,2016,South Carolina,Dillon ,34.42248406,-79.36647054,Dillon,Water System Improvements - Elevated Storage Tank,1710001-02,Construction of a 300K gal elevated storage tank in an area of low pressure plus line work to allow water to flow unrestricted from the tank to the rest of the City's system. Will bring the City system in compliance with DHEC regulations.,,"$1,499,000",750000,749000,,,3534,85,
49,DWSRF,2016,South Carolina,Kershaw,34.24978413,-80.60633696,Camden,Camden WTP Hypochlorite System & Carbon System Upgrades,2810001-04,"Construct a sodium hypochlorite system to replace gas chlorine disinfection, and construct a powdered activated carbon system to protect against potential cyanotoxins that could result from algal blooms in
source water.",,"$1,522,900",1522900,,,,15600,40,
50,DWSRF,2016,South Carolina,Kershaw,34.33730146,-80.41185273,Cassatt Water (Kershaw Co. & Lee Co. RWA),Cassatt Water - Phase 2 Projects,2820005-01,"Replace existing failing water mains and install new wells, new tanks and new booster pump stations to provide for sustainable system operations.",,"$4,500,000",4500000,,,,24000,25,
51,DWSRF,2016,South Carolina,Lexington ,33.96438651,-81.0630169,Cayce,"The Avenues, Broadacres, N. Frink St., and Glenn St. Tank Water System Replacement",3210003-02,"Replacement of aging Glenn St. Tank with new elevated or ground storage tank with booster pump station and replacement of ~216,000 linear feet of old, tuberculated galvanized and cast iron water lines with new PVC and DIP water lines, including hydrants, valves and appurtenances.",,"$15,700,000",15700000,,,,10000,20,
52,DWSRF,2016,South Carolina,Kershaw,34.24978413,-80.60633696,Camden,Water System Rehabilitation 2015,2810001-01,Construct new water distribution mains to replace aging pipes subject to failure.,,"$1,163,324",1163324,,,,650,20,
53,DWSRF,2016,South Carolina,Kershaw,34.24978413,-80.60633696,Camden,Water System Rehabilitation - Camden Truck Route,2810001-03,"Replacement of ~17,412 LF of aging water mains of various size and composition that are responsible for water quality issues.",,"$3,067,940",2106990,,,,387,20,
54,DWSRF,2017,South Carolina,Florence,34.18366437,-79.77392906,Florence,Timmonsville Water System Improvements - 2016,2110005-03,Addition of new water lines and replacement of existing lines to address low pressures in the distribution system. Also replace 24 malfunctioning hydrants and 3 stripped valves.,,"$530,000",530000,,,,2221,105,
55,DWSRF,2017,South Carolina,Fairfield ,34.33723404,-81.14215911,Winnsboro,Raw Water Intake and Raw Water Line,2010001-02,"Construct an intake and raw water pump station and install ~67,000 linear feet of 24"" raw water pipe from the Broad River to the town's existing raw water reservoir.",,"$14,700,000",14700000,,,,14265,95,
56,DWSRF,2017,South Carolina,Lexington ,33.81842881,-81.10091818,Gaston Rural Community Water District,Radium Treatment for Gaston Rural,3220002-01,Install a radium removal system to reduce the combined radium concentrations and produce finished water in compliance with the established MCL.,,"$730,000",,730000,,,7186,95,
57,DWSRF,2017,South Carolina,York ,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Treatment Plant and Lake Wylie Raw Water Intake Upgrade - DPB Reduction,4610002-07,"Add intank aeration at two water storage tanks, install a 24"" water line on Mt. Gallant Road and add chlorine dioxide chemical feed facilities at Lake Wylie to address the formation of disinfection by-products.",,"$42,000,000",8675000,,,,118000,90,
58,DWSRF,2017,South Carolina,Beaufort,32.31843203,-80.47653826,Fripp Island PSD,Harbor River Waterline Replacement,0720002-02,"Replace ~3,500 LF of 10"" waterline crossing the Harbor River due to DOT bridge replacement. This line is the only connection to the Island's water
supplier.",,"$3,100,000",3100000,,,,5495,85,
59,DWSRF,2017,South Carolina,Oconee ,34.7261239,-83.07917265,Walhalla,4.0 MGD Water Plant and New Raw Water Intake,3710004-03,"Construct a 4 MGD water treatment plant and 20"" finished water main; also, construct raw water intake, raw water pump station, 24"" raw water main, new 4 MGD raw water storage basin.",,"$17,000,000",16300000,,,,16300,80,
60,DWSRF,2017,South Carolina,Horry ,33.77413013,-79.01888945,Grand Strand Water & Sewer Authority,Bull Creek - South Parallel Transmission Line,2620004-23,"Installation of~ 12,500 LF of 36"" water main to parallel an existing 30"" water main that is critical to serving the southern portion of the GSWSA service area and has no existing backup.",,"$6,000,000",6000000,,,,115000,80,
61,DWSRF,2017,South Carolina,York ,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Treatment Plant and Lake Wylie Raw Water Intake Upgrade - WTP Improvements,4610002-08,"Multiple improvements at the Rock Hill WTP to maintain compliance with drinking water standards to include: repair/replacement of clearwell baffle, sedimentation basin covers, and settled water turbidity meters.",,see project 4610002-07,645000,,,,118000,80,
62,DWSRF,2017,South Carolina,Anderson,34.55397264,-82.74053317,Anderson Regional Joint Water System,Lake Hartwell WTP Advanced Treatment Process Improvements,0420011-06,Evaluation of Lake Hartwell Water Treatment Facility with resulting implementation of technological and infrastructure improvements to address emerging contaminents and water quality.,,"$13,500,000",12500000,,,,200000,40,
63,DWSRF,2017,South Carolina,Marlboro ,34.58013151,-79.54616016,Clio,Church and Ivey Street Water Main Replacement,3410002-01,Replacement of 3900 LF of cast iron water mains on Church and Ivey Streets and 10 fire hydrants.,,"$265,900",,265900,,,942,35,
64,DWSRF,2017,South Carolina,Union ,34.5926005,-81.46260632,Carlisle,Carlisle Water System Improvements Phase 1,4410003-01,Recoating of interior of the water storage tank and installing an improved electronic control system.,,"$38,000  3",,38000,,,436,35,
65,DWSRF,2017,South Carolina,Abbeville ,34.37690676,-82.34764887,Donalds Due West Water & Sewer Authority,Waterline Extension to Pinehurst Subdivision,0120001-03,"Install ~7,940 LF of 6"" waterlines, hydrants and other
appurtenances to replace an aging distribution system and allow the Pinehurst Subdivision to connect to and be operated by Donalds Due West
WSA.",,"$565,000",,565000,,,121,35,
66,DWSRF,2017,South Carolina,York ,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Treatment Plant and Lake Wylie Raw Water Intake Upgrade - Rehabilitation,4610002-09,"Upgrade aging infrastructure to include: instrumentation upgrades, SCADA improvements, increase emergency power at Lake Wylie intake, rehabilitate sedimentation basins, improve energy efficiency for existing pumps, and address residual solids management.",,see project 4610002-07,"4
$6,750,000",,,,118000,20,
67,DWSRF,2018,South Carolina,Dillon ,34.33809499,-79.43209873,Latta,New Water Tank,1710002-02,"Construct a new 200,000 gallon water tank to replace an aging 100,000 gallon tank with lead paint.",,"$996,625",,996625,,,1880,110,New
68,DWSRF,2018,South Carolina,Hemingway ,33.75347169,-79.44660913,Hemingway,New Well & Water Treatment Plant,4510004-01,Install a shallow well and water treatment plant to address a THM issue associated with an older deeper well.,,"$497,900",,497900,,,3597,95,New
69,DWSRF,2018,South Carolina,Marlboro ,34.58013151,-79.54616016,Clio,Clearwell Abandonment,3410002-04,Install a new well pump and update chemical feed equipment in order to abandon a leaking clearwell that is the subject of a DHEC Consent Order.,,"$510,000",,510000,,,942,95,New
70,DWSRF,2018,South Carolina,Beaufort,32.31843203,-80.47653826,Fripp Island PSD,Harbor River Waterline Replacement,0720002-02,"Replace ~3,500 LF of 10"" waterline crossing the Harbor River due to DOT bridge replacement. This line is the only connection to the Island's water
supplier.",,"$3,100,000",3100000,,,,5495,85,New
71,DWSRF,2018,South Carolina,Georgetown,33.39209734,-79.33125401,Georgetown County Water and Sewer District,Murrells Inlet Water Tank,2220010-01,"Construction of an elevated water tank (~250,000 gallon) to better control water age in the system. Installation of  transmission mains to provide adequate flows into the proposed tank if needed.",,"$1,700,000",1700000,,,,24446,80,New
72,DWSRF,2018,South Carolina,Georgetown,33.39209734,-79.33125401,Georgetown County Water and Sewer District,Historic District Waterline Improvements,2210001-03,"Replace ~9,000 linear feet of existing water lines with new 6"", 8"", and 10"" water mains including fire hydrants and necessary appurtenances.",,"$1,875,000",1800000,,,,9245,25,New
73,DWSRF,2018,South Carolina,York ,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Treatment Plant and Lake Wylie Raw Water Intake Upgrade - DBP Reduction,4610002-07,"Add intank aeration at two water storage tanks, install a 24"" water line on Mt. Gallant Road to address the formation of disinfection by-products.",,"$4,834,643",4834643,,,,118000,90,Continuing
74,DWSRF,2019,South Carolina,Colleton ,33.03383797,-80.84267594,Williams,Elevated Water Storage Tank Improvements,1510003-01,Renovate the interior of the Town's elevated storage tank to address a DHEC Consent Order and improve various tank appurtenances.,,"$175,000",,175000,,,110,130,
75,DWSRF,2019,South Carolina,Aiken ,33.65185362,-81.36260527,Wagener,Staley Well Pump Replacement,0210004-01,"Replace a failed well pump, and appurtenances as required.",,"$25,000",,25000,,,1081,95,
76,DWSRF,2019,South Carolina,Kershaw ,34.41456185,-80.34695757,Bethune Rural Water Company,Generators at System Wells,2820006-02,Install generators at each of the system's four wells.,,"$208,000",,208000,,,3600,90,
77,DWSRF,2019,South Carolina,Florence ,33.99586095,-79.56616443,Pamplico,Water Treatment Facility Improvements,2110010-06,"Install generators at the Town's two water treatment facilities. Also additional drainage improvements, building repairs, site security upgrades and removal
of an old alum feed system.",,"$421,000",,421000,,,1447,90,
78,DWSRF,2019,South Carolina,Horry ,33.77413013,-79.01888945,Grand Strand Water & Sewer Authority,Bull Creek/ Myrtle Beach Water System Interconnection Phase 3,2620004-25,"Construction of pumping station and 8,400 LF of 36"" pipeline to interconnect the Myrtle Beach water system and the Bull Creek water system to ensure water supply for the coastal region in the event of an
extreme weather event.",,"$4,000,000",4000000,,,,309000,80,
79,DWSRF,2019,South Carolina,Charleston ,32.67328689,-79.94226146,Folly Beach,Aquifer Storage and Recovery (ASR),1010005-02,"Replace existing underground storage with ASR storage of ~ 30 million gallons to provide up to 30 days of potable water in event of a break in the
supply line to the island.",,"$1,200,000",900000,,,,30000,80,
80,DWSRF,2019,South Carolina,Chesterfield ,34.65418178,-80.38868895,Jefferson,Elevated Water Tank Renovation,1310005-02,"Paint removal and repainting of interior of 400,000 gallon elevated tank interior. Exterior surface to be renovated, which requires lead paint abatement .",,"$350,000",,350000,,,753,30,
